Time,Recession,Population growth (annual %),"Fertility rate, total (births per woman)",GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),GDP_In_Billion_USD,Per_Capita_in_USD
1960,0,2.2904706381,5.921,3.61,1.567887634,41.74133512,20.83434345,4.463156456,6.833676657,17.93133529,38,83
1961,0,2.304706381,5.937,3.722742533,2.145427647,41.0924822,21.43484397,4.30358619,5.957576405,19.26214583,39.23,85
1962,0,2.311689163,5.953,2.931127735,4.405616729,39.0659688,22.05260014,4.168975283,6.031814896,18.10757077,42.16,90
1963,0,2.3090789,5.969,5.994353262,8.353623887,39.82535168,21.87947583,4.280503385,5.906834458,18.99545711,48.42,101
1964,0,2.301191796,5.979,7.452950123,8.551676965,41.34371671,20.95528854,3.725551173,5.684997747,19.52982849,56.48,116
1965,1,2.235299586,5.941,-2.63577011,8.300369408,39.38469726,21.65510507,3.307472781,5.211561589,20.05722299,59.55,119
1966,1,2.151837768,5.881,-0.05532877,13.27070656,40.35165124,21.38661717,4.14255066,6.671686852,18.35801382,45.87,90
1967,0,2.128767359,5.825,7.825963031,8.61620471,42.75155802,20.08944288,4.034444995,5.946617673,18.19754447,50.13,96
1968,0,2.168861631,5.76,3.387929176,2.415383585,42.08602738,20.62711566,4.038771006,4.94297347,17.74224975,53.09,100
1969,0,2.203157234,5.684,6.539700299,3.343364338,41.58492358,21.41748463,3.71384282,4.030933823,17.64009524,58.45,108
1970,0,2.210183277,5.624,5.157229737,1.562243483,40.28961346,21.72930929,3.782825062,3.878944276,18.21143873,62.42,112
1971,0,2.217008176,5.565,1.642930375,5.32484106,38.63339119,22.39200791,3.667205217,4.002401341,19.20361574,67.35,119
1972,1,2.227430962,5.482,-0.553301305,10.83960269,38.6268263,22.40800259,4.027489262,3.708910336,19.54843194,71.46,123
1973,0,2.251176307,5.402,3.295521135,17.82971565,41.60382462,21.34823029,4.208763192,4.723332826,18.70075865,85.52,144
1974,0,2.258204381,5.325,1.185336255,16.66751573,38.8780587,22.6756934,4.831321003,6.02056925,22.51151757,99.53,163
